,uf_unique_,stop_id,name,operator,mode,direction,route_id,related_ro,related__1,related__2,headway_av,headway__1,headway__2,headway__3,hourly_arr,hourly_a_1,hourly_a_2,hourly_a_3,total_arri,total_ar_1,geometry_k,geometry
1690,f-9q9-scmtdcom_1708,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,0,42,42,Davenport / Bonny Doon,420012,,,120.0,,,0.5,0.12,,2.0,,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1691,f-9q9-scmtdcom_1709,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,66,66,Live Oak via 17th,660007,,65.0,69.17,60.0,0.5,1.0,0.81,0.75,13.0,13.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1692,f-9q9-scmtdcom_1710,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,66,66,Live Oak via 17th,660011,,,,,0.5,,0.06,,1.0,,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1693,f-9q9-scmtdcom_1711,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,68,68,Live Oak via Broadway / Portola,680012,60.0,62.0,60.42,60.4,1.5,1.0,0.81,0.38,13.0,6.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1694,f-9q9-scmtdcom_1712,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0006,65.0,60.0,60.18,60.2,1.0,1.0,0.75,0.69,12.0,11.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1695,f-9q9-scmtdcom_1713,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,69W,69W,Capitola Rd. / Cabrillo / Watsonville,69W0006,60.0,60.0,59.71,59.55,1.0,1.0,0.94,0.75,16.0,12.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1696,f-9q9-scmtdcom_1714,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710028,72.0,57.0,60.2,73.36,1.0,1.0,1.0,0.75,17.0,12.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1697,f-9q9-scmtdcom_1715,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710024,69.0,57.0,59.93,71.3,1.0,1.0,0.94,0.69,15.0,11.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1698,f-9q9-scmtdcom_1716,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,91X,91X,Commuter Express Santa Cruz / Watsonville,91X0014,,,64.1,,0.5,0.5,0.69,,11.0,,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1699,f-9q9-scmtdcom_1717,2700R,Santa Cruz Metro Center,Santa Cruz Metro,Bus,1,71,71,Santa Cruz / Watsonville,710029,,,,,,,,0.06,,1.0,3fd61aaeea226e9,POINT (-122.024979 36.970673)
1700,f-9q9-scmtdcom_1718,2701R,Santa Cruz Metro Center - Lane 1,Santa Cruz Metro,Bus,0,10,10,UCSC Via High,100007,60.0,60.0,60.0,60.0,1.0,1.0,0.75,0.5,12.0,8.0,26e466ac4981885e,POINT (-122.024574 36.971077)
1701,f-9q9-scmtdcom_1719,2701R,Santa Cruz Metro Center - Lane 1,Santa Cruz Metro,Bus,0,16,16,UCSC via Laurel East,160018,60.0,60.0,60.0,45.71,1.0,1.0,1.0,1.12,16.0,20.0,26e466ac4981885e,POINT (-122.024574 36.971077)
1702,f-9q9-scmtdcom_1720,2701R,Santa Cruz Metro Center - Lane 1,Santa Cruz Metro,Bus,0,19,19,UCSC via Lower Bay,190013,60.0,60.0,60.0,60.0,1.5,1.5,0.88,0.62,14.0,10.0,26e466ac4981885e,POINT (-122.024574 36.971077)
1703,f-9q9-scmtdcom_1721,2701R,Santa Cruz Metro Center - Lane 1,Santa Cruz Metro,Bus,0,20,20,UCSC via Westside,200023,60.0,,60.0,60.0,1.0,0.5,0.69,0.38,11.0,6.0,26e466ac4981885e,POINT (-122.024574 36.971077)
